;NB;C45;SVML;SVMQ;BN;RandF;RotF;MLP;Euclidean_1NN;DTW_R1_1NN;DTW_Rn_1NN;DDTW_R1_1NN;DDTW_Rn_1NN;ERP_1NN;LCSS_1NN;MSM_1NN;TWE_1NN;WDDTW_1NN;WDTW_1NN;DD_DTW;DTD_C;DTW_F;ST;LS;FS;BoP;SAXVSM;BOSS;TSF;TSBF;LPS;ACF;PS;EE;COTE;CID_DTW
Meat;0.9333333333333333;0.8666666666666667;0.9666666666666667;0.9666666666666667;0.9166666666666666;0.9333333333333333;0.9666666666666667;1.0;0.933333333;0.933333333;0.933333333;0.666666667;0.666666667;0.933333333;0.533333333;0.933333333;0.933333333;0.666666667;0.933333333;0.9333333333333333;0.933333333;0.9;0.85;0.7333333333333333;0.833333;0.7333333333333333;0.9;0.9;0.9333333333333333;0.9333333333333333;0.8833333333333333;0.85;0.8666666666666667;0.9333333333333333;0.916666667;0.9333333333333333
MedicalImages;0.4486842105263158;0.625;0.6157894736842106;0.7078947368421052;0.40131578947368424;0.7210526315789474;0.7723684210526316;0.7052631578947368;0.684210526;0.736842105;0.747368421;0.663157895;0.663157895;0.676315789;0.706578947;0.740789474;0.710526316;0.681578947;0.736842105;0.7368421052631579;0.744736842;0.723684211;0.6697368421052632;0.6644736842105263;0.623684;0.4934210526315789;0.5078947368421053;0.718421052631579;0.7552631578947369;0.7052631578947368;0.7460526315789474;0.6776315789473685;0.6618421052631579;0.7421052631578947;0.757894737;0.7421052631578947
MiddlePhalanxOutlineCorrect;0.5532646048109966;0.697594501718213;0.6357388316151202;0.7731958762886598;0.7044673539518901;0.8144329896907216;0.8006872852233677;0.8075601374570447;0.766323024;0.697594502;0.766323024;0.690721649;0.776632302;0.766323024;0.749140893;0.75257732;0.762886598;0.745704467;0.75257732;0.7319587628865979;0.742268041;0.786941581;0.7938144329896907;0.7800687285223368;0.728522;0.7079037800687286;0.6769759450171822;0.7800687285223368;0.8281786941580757;0.8144329896907216;0.7731958762886598;0.711340206185567;0.7903780068728522;0.7835051546391752;0.804123711;0.7628865979381443
MiddlePhalanxOutlineAgeGroup;0.5909090909090909;0.551948051948052;0.6168831168831169;0.487012987012987;0.6038961038961039;0.6038961038961039;0.5714285714285714;0.5584415584415584;0.519480519;0.5;0.519480519;0.558441558;0.577922078;0.480519481;0.61038961;0.493506494;0.519480519;0.538961039;0.519480519;0.538961038961039;0.5;0.512987013;0.6428571428571429;0.5714285714285714;0.545455;0.5194805194805194;0.5454545454545454;0.5454545454545454;0.577922077922078;0.577922077922078;0.487012987012987;0.6103896103896104;0.6168831168831169;0.5584415584415584;0.636363636;0.512987012987013
MiddlePhalanxTW;0.512987012987013;0.4935064935064935;0.577922077922078;0.5324675324675324;0.5064935064935064;0.5584415584415584;0.6298701298701299;0.5714285714285714;0.512987013;0.506493506;0.506493506;0.5;0.5;0.5;0.577922078;0.493506494;0.487012987;0.532467532;0.512987013;0.487012987012987;0.5;0.532467532;0.5194805194805194;0.5064935064935064;0.532468;0.5;0.487012987012987;0.5454545454545454;0.564935064935065;0.5974025974025974;0.525974025974026;0.5714285714285714;0.577922077922078;0.512987012987013;0.571428571;0.512987012987013
MoteStrain;0.8426517571884984;0.786741214057508;0.8666134185303515;0.8706070287539937;0.8562300319488818;0.8889776357827476;0.8801916932907349;0.8458466453674122;0.878594249;0.834664537;0.865814696;0.715654952;0.774760383;0.872204473;0.881789137;0.854632588;0.797124601;0.787539936;0.85942492;0.8330670926517572;0.767571885;0.908945687;0.896964856230032;0.8833865814696485;0.777157;0.8490415335463258;0.7939297124600639;0.8785942492012779;0.8690095846645367;0.9033546325878594;0.9217252396166135;0.7428115015974441;0.6884984025559105;0.8825878594249201;0.936900958;0.7955271565495208
NonInvasiveFatalECGThorax1;0.8111959287531807;0.7190839694656489;0.92264631043257;0.9404580152671755;0.811704834605598;0.878880407124682;0.9053435114503817;0.9256997455470738;0.829007634;0.790330789;0.829007634;0.697201018;0.72264631;0.824936387;0.81221374;0.816284987;0.820356234;0.729770992;0.815776081;0.8055979643765904;0.841221374;0.892111959;0.9496183206106871;0.259033079;0.710433;;0.5231552162849873;0.8381679389312977;0.8758269720101781;0.8422391857506362;0.8122137404580153;0.721119592875318;0.8753180661577609;0.8458015267175573;0.93129771;0.8371501272264631
NonInvasiveFatalECGThorax2;0.8274809160305343;0.7847328244274809;0.9419847328244275;0.9480916030534351;0.8391857506361323;0.9119592875318067;0.9246819338422392;0.9450381679389313;0.879898219;0.864631043;0.870229008;0.826463104;0.825954198;0.895165394;0.88346056;0.882951654;0.888040712;0.860559796;0.884478372;0.8931297709923665;0.88956743;0.899236641;0.9511450381679389;0.770483461;0.75369;;0.5913486005089058;0.9007633587786259;0.9099236641221374;0.8615776081424936;0.8412213740458016;0.7516539440203562;0.8839694656488549;0.9134860050890585;0.945547074;0.8793893129770992
OliveOil;0.9;0.8333333333333334;0.8666666666666667;0.8666666666666667;0.9;0.9;0.8666666666666667;0.9;0.866666667;0.833333333;0.866666667;0.866666667;0.833333333;0.866666667;0.4;0.833333333;0.866666667;0.866666667;0.833333333;0.8333333333333334;0.866666667;0.9;0.9;0.16666666666666666;0.733333;0.8666666666666667;0.9;0.8666666666666667;0.8666666666666667;0.8333333333333334;0.8666666666666667;0.8;0.8333333333333334;0.8666666666666667;0.9;0.8666666666666667
OSULeaf;0.38016528925619836;0.34297520661157027;0.44214876033057854;0.5661157024793388;0.30991735537190085;0.512396694214876;0.5702479338842975;0.45867768595041325;0.520661157;0.590909091;0.599173554;0.880165289;0.871900826;0.603305785;0.789256198;0.772727273;0.776859504;0.884297521;0.623966942;0.8801652892561983;0.884297521;0.809917355;0.9669421487603306;0.7768595041322314;0.677686;0.6487603305785123;0.8512396694214877;0.9545454545454546;0.5826446280991735;0.7603305785123967;0.7396694214876033;0.7768595041322314;0.8223140495867769;0.8057851239669421;0.966942149;0.6198347107438017
PhalangesOutlinesCorrect;0.6538461538461539;0.7342657342657343;0.6468531468531469;0.7249417249417249;0.7307692307692307;0.817016317016317;0.8601398601398601;0.8368298368298368;0.761072261;0.728438228;0.761072261;0.74009324;0.791375291;0.75990676;0.742424242;0.751748252;0.75990676;0.776223776;0.747086247;0.7389277389277389;0.761072261;0.771561772;0.7634032634032634;0.7645687645687645;0.74359;0.7097902097902098;0.7097902097902098;0.7715617715617715;0.803030303030303;0.8298368298368298;0.7564102564102564;0.7354312354312355;0.747086247086247;0.7727272727272727;0.77039627;0.7622377622377622
Phoneme;0.13660337552742616;0.06540084388185655;0.0938818565400844;0.0970464135021097;0.11286919831223628;0.14662447257383968;0.12974683544303797;0.0970464135021097;0.109177215;0.228375527;0.226793249;0.256329114;0.246835443;0.179324895;0.256329114;0.292194093;0.270042194;0.244725738;0.161392405;0.2689873417721519;0.267932489;0.276898734;0.3206751054852321;0.21835443;0.173523;0.12974683544303797;0.10495780590717299;0.26476793248945146;0.2120253164556962;0.27637130801687765;0.23681434599156118;0.23048523206751054;0.2199367088607595;0.3048523206751055;0.349156118;0.2209915611814346
Plane;0.9428571428571428;0.9619047619047619;0.9809523809523809;0.9904761904761905;0.9809523809523809;0.9904761904761905;0.9904761904761905;0.9619047619047619;0.961904762;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99047619;1.0;1.0;1.0;0.9809523809523809;0.9904761904761905;1.0;1.0;1.0;1.0;0.9714285714285714;1.0;1.0;1.0;1.0
ProximalPhalanxOutlineCorrect;0.6460481099656358;0.7972508591065293;0.8247422680412371;0.9003436426116839;0.7216494845360825;0.865979381443299;0.8625429553264605;0.865979381443299;0.807560137;0.783505155;0.790378007;0.817869416;0.852233677;0.810996564;0.756013746;0.786941581;0.807560137;0.841924399;0.783505155;0.7938144329896907;0.793814433;0.828178694;0.8831615120274914;0.8487972508591065;0.804124;0.7457044673539519;0.8281786941580757;0.8487972508591065;0.8281786941580757;0.872852233676976;0.8419243986254296;0.8178694158075601;0.8694158075601375;0.8075601374570447;0.869415808;0.7903780068728522
ProximalPhalanxOutlineAgeGroup;0.824390243902439;0.8341463414634146;0.8536585365853658;0.8097560975609757;0.8536585365853658;0.8682926829268293;0.8536585365853658;0.8;0.785365854;0.804878049;0.785365854;0.819512195;0.809756098;0.795121951;0.853658537;0.790243902;0.804878049;0.819512195;0.804878049;0.8;0.795121951;0.819512195;0.8439024390243902;0.8341463414634146;0.780488;0.7658536585365854;0.824390243902439;0.8341463414634146;0.848780487804878;0.848780487804878;0.7951219512195122;0.8390243902439024;0.8341463414634146;0.8048780487804879;0.853658537;0.7902439024390244
ProximalPhalanxTW;0.7365853658536585;0.7365853658536585;0.824390243902439;0.7609756097560976;0.7463414634146341;0.8097560975609757;0.824390243902439;0.7902439024390244;0.707317073;0.76097561;0.76097561;0.751219512;0.736585366;0.702439024;0.804878049;0.756097561;0.746341463;0.746341463;0.751219512;0.7658536585365854;0.770731707;0.814634146;0.8048780487804879;0.775609756097561;0.702439;0.6585365853658537;0.6097560975609756;0.8;0.8146341463414634;0.8097560975609757;0.7317073170731707;0.751219512195122;0.7902439024390244;0.7658536585365854;0.780487805;0.751219512195122
RefrigerationDevices;0.384;0.464;0.352;0.37333333333333335;0.504;0.5146666666666667;0.5653333333333334;0.368;0.394666667;0.464;0.44;0.408;0.424;0.490666667;0.490666667;0.482666667;0.512;0.434666667;0.426666667;0.44533333333333336;0.445333333;0.482666667;0.5813333333333334;0.5146666666666667;0.333333;0.4613333333333333;0.6533333333333333;0.49866666666666665;0.5893333333333334;0.472;0.45866666666666667;0.496;0.5066666666666667;0.43733333333333335;0.546666667;0.44533333333333336
ScreenType;0.43466666666666665;0.37333333333333335;0.38133333333333336;0.384;0.448;0.43466666666666665;0.44;0.38666666666666666;0.36;0.397333333;0.410666667;0.426666667;0.442666667;0.381333333;0.437333333;0.458666667;0.426666667;0.426666667;0.410666667;0.42933333333333334;0.437333333;0.434666667;0.52;0.42933333333333334;0.413333;0.4186666666666667;0.512;0.464;0.456;0.5093333333333333;0.416;0.504;0.49333333333333335;0.44533333333333336;0.546666667;0.4053333333333333
ShapeletSim;0.4666666666666667;0.4888888888888889;0.4888888888888889;0.48333333333333334;0.5222222222222223;0.4888888888888889;0.4111111111111111;0.4722222222222222;0.538888889;0.65;0.694444444;0.538888889;0.505555556;0.838888889;0.822222222;0.866666667;0.577777778;0.494444444;0.755555556;0.6111111111111112;0.6;0.672222222;0.9555555555555556;0.95;1.0;0.7;0.7166666666666667;1.0;0.4777777777777778;0.9611111111111111;0.8666666666666667;0.9222222222222223;0.7666666666666667;0.8166666666666667;0.961111111;0.7444444444444445
ShapesAll;0.6233333333333333;0.4716666666666667;0.7133333333333334;0.7483333333333333;0.5833333333333334;0.77;0.7433333333333333;0.65;0.751666667;0.768333333;0.801666667;0.835;0.845;0.811666667;0.845;0.871666667;0.86;0.86;0.811666667;0.85;0.838333333;0.805;0.8416666666666667;0.768333333;0.58;0.785;0.6983333333333334;0.9083333333333333;0.7916666666666666;0.185;0.8733333333333333;0.6166666666666667;0.7383333333333333;0.8666666666666667;0.891666667;0.8083333333333333
SmallKitchenAppliances;0.5146666666666667;0.5733333333333334;0.4613333333333333;0.4613333333333333;0.6533333333333333;0.6693333333333333;0.728;0.3333333333333333;0.344;0.642666667;0.672;0.653333333;0.669333333;0.632;0.472;0.698666667;0.645333333;0.645333333;0.674666667;0.64;0.648;0.757333333;0.792;0.664;0.333333;0.7466666666666667;0.5786666666666667;0.7253333333333334;0.8106666666666666;0.672;0.712;0.6986666666666667;0.68;0.696;0.776;0.6746666666666666
SonyAIBORobotSurface;0.930116472545757;0.6555740432612313;0.7038269550748752;0.7071547420965059;0.740432612312812;0.6372712146422629;0.8086522462562395;0.9018302828618968;0.695507488;0.725457571;0.695507488;0.730449251;0.698835275;0.688851913;0.735440932;0.730449251;0.680532446;0.717138103;0.737104825;0.7420965058236273;0.710482529;0.740432612;0.8435940099833611;0.8103161397670549;0.685524;0.7154742096505824;0.8136439267886856;0.632279534109817;0.7870216306156406;0.7953410981697171;0.7737104825291181;0.8868552412645591;0.8785357737104825;0.7038269550748752;0.845257903;0.8153078202995009
SonyAIBORobotSurfaceII;0.7869884575026233;0.6862539349422875;0.8184679958027282;0.8184679958027282;0.7901364113326338;0.7901364113326338;0.8079748163693599;0.8405036726128017;0.859391396;0.831059811;0.859391396;0.858342078;0.861490031;0.822665268;0.81112277;0.870933893;0.853095488;0.858342078;0.831059811;0.8919202518363064;0.891920252;0.856243442;0.9338929695697796;0.8751311647429171;0.790136;0.8111227701993704;0.8163693599160545;0.8593913955928646;0.8100734522560336;0.7775445960125918;0.8719832109129066;0.9244491080797481;0.9045120671563484;0.8782791185729276;0.951731375;0.8772298006295908
StarLightCurves;0.791403593977659;0.9072365225837785;0.9194997571636717;0.9339485186983972;0.791403593977659;0.9498542982030111;0.9692812044681884;0.8464060223409422;0.848834386;0.906629432;0.898251578;0.962238951;0.963695969;0.86243322;0.879431763;0.868139874;0.883195726;0.962238951;0.895216124;0.9622389509470617;0.962238951;0.96163186;0.9785089849441476;0.946576008;0.9178;;0.8753035454103933;0.9777804759592035;0.9694026226323458;0.9770519669742593;0.9629674599320058;0.9643030597377368;0.9537396794560467;0.926056338028169;0.979601748;0.9181034482758621
Strawberry;0.7648648648648648;0.9378378378378378;0.918918918918919;0.972972972972973;0.8189189189189189;0.9567567567567568;0.972972972972973;0.9621621621621622;0.945945946;0.940540541;0.945945946;0.962162162;0.962162162;0.945945946;0.837837838;0.943243243;0.943243243;0.962162162;0.943243243;0.9540540540540541;0.956756757;0.97027027;0.9621621621621622;0.9108108108108108;0.902703;0.9675675675675676;0.9567567567567568;0.9756756756756757;0.9648648648648649;0.9540540540540541;0.9621621621621622;0.8702702702702703;0.9405405405405406;0.9459459459459459;0.951351351;0.9432432432432433
SwedishLeaf;0.8576;0.6576;0.8416;0.864;0.8336;0.8704;0.8816;0.8288;0.7888;0.792;0.8464;0.8848;0.904;0.8624;0.888;0.896;0.8912;0.8928;0.8736;0.9008;0.896;0.9008;0.928;0.9072;0.768;0.7344;0.6688;0.9216;0.9136;0.9152;0.92;0.8816;0.9024;0.9152;0.9552;0.8816
Symbols;0.7979899497487437;0.6271356783919598;0.8703517587939699;0.8944723618090452;0.8954773869346734;0.9015075376884422;0.792964824120603;0.75678391959799;0.899497487;0.949748744;0.937688442;0.970854271;0.968844221;0.920603015;0.954773869;0.948743719;0.959798995;0.973869347;0.949748744;0.9527638190954774;0.96281407;0.948743719;0.8824120603015075;0.9316582914572864;0.933668;0.9507537688442211;0.6221105527638191;0.9668341708542714;0.914572864321608;0.9457286432160804;0.9628140703517588;0.8974874371859296;0.7989949748743719;0.9597989949748744;0.963819095;0.9407035175879397
syntheticcontrol;0.96;0.81;0.9233333333333333;0.9433333333333334;0.9266666666666666;0.9433333333333334;0.9733333333333334;0.91;0.88;0.993333333;0.983333333;0.566666667;0.566666667;0.976666667;0.953333333;0.973333333;0.986666667;0.566666667;0.993333333;0.9933333333333333;0.996666667;0.99;0.9833333333333333;0.9966666666666667;0.91;0.9333333333333333;0.89;0.9666666666666667;0.9866666666666667;0.9933333333333333;0.98;0.66;0.6533333333333333;0.99;1.0;0.9733333333333334
ToeSegmentation1;0.5526315789473685;0.5921052631578947;0.543859649122807;0.5745614035087719;0.5789473684210527;0.6491228070175439;0.5307017543859649;0.5;0.679824561;0.771929825;0.75;0.785087719;0.587719298;0.833333333;0.75;0.815789474;0.820175439;0.627192982;0.793859649;0.8070175438596491;0.807017544;0.921052632;0.9649122807017544;0.9342105263157895;0.95614;0.8771929824561403;0.9298245614035088;0.9385964912280702;0.7412280701754386;0.7807017543859649;0.8771929824561403;0.8903508771929824;0.6973684210526315;0.8289473684210527;0.973684211;0.7368421052631579
ToeSegmentation2;0.6384615384615384;0.5;0.5461538461538461;0.6538461538461539;0.5615384615384615;0.7692307692307693;0.5846153846153846;0.5923076923076923;0.807692308;0.838461538;0.907692308;0.684615385;0.784615385;0.923076923;0.907692308;0.753846154;0.784615385;0.792307692;0.892307692;0.7461538461538462;0.715384615;0.907692308;0.9076923076923077;0.9153846153846154;0.692308;0.9461538461538461;0.8615384615384616;0.9615384615384616;0.8153846153846154;0.8;0.8692307692307693;0.8307692307692308;0.7461538461538462;0.8923076923076924;0.915384615;0.8769230769230769
Trace;0.8;0.79;0.73;0.82;0.82;0.78;0.93;0.84;0.76;1.0;0.99;1.0;0.99;0.95;0.97;0.93;0.99;1.0;1.0;1.0;0.99;1.0;1.0;1.0;1.0;0.97;1.0;1.0;0.99;0.98;0.98;1.0;0.95;0.99;1.0;0.99
TwoLeadECG;0.6988586479367866;0.7181738366988587;0.9411764705882353;0.9051799824407375;0.733099209833187;0.7243195785776997;0.9701492537313433;0.9508340649692713;0.74714662;0.905179982;0.868305531;0.994732221;0.981562774;0.942054434;0.885864794;0.947322212;0.973661106;0.994732221;0.905179982;0.9780509218612818;0.985074627;0.985074627;0.9973661106233538;0.9964881474978051;0.924495;0.9754170324846356;0.897278314310799;0.9806848112379281;0.7585601404741001;0.8656716417910447;0.9482001755926251;0.8042142230026339;0.9604916593503073;0.971027216856892;0.992976295;0.8814749780509219
TwoPatterns;0.457;0.65125;0.82175;0.87425;0.46275;0.858;0.928;0.91075;0.90675;1.0;0.9985;0.9975;0.99675;1.0;0.99925;0.999;0.9985;0.9975;1.0;1.0;0.9995;1.0;0.955;0.99325;0.90825;0.942;0.8745;0.993;0.99125;0.97625;0.982;0.414;0.46575;1.0;1.0;0.99825
uWaveGestureLibraryX;0.6652707984366276;0.6013400335008375;0.65857063093244;0.7185929648241206;0.6694584031267449;0.7621440536013401;0.7828029034059185;0.7479061976549414;0.739251815;0.727526521;0.774427694;0.676996092;0.741485204;0.771356784;0.771356784;0.769123395;0.771356784;0.74427694;0.774427694;0.7791736460078169;0.774706868;0.801507538;0.8029034059184813;0.791178112786153;0.694584;0.5977107761027359;0.5290340591848129;0.7621440536013401;0.8040201005025126;0.830820770519263;0.8291457286432161;0.47292015633724177;0.4480737018425461;0.8054159687325516;0.821887214;0.7897822445561139
uWaveGestureLibraryY;0.5558347292015634;0.5630932439977666;0.6275823562255723;0.6261864879955332;0.5845896147403685;0.6937465103294249;0.7144053601340034;0.6641541038525963;0.661641541;0.63400335;0.701842546;0.584031267;0.662758236;0.678950307;0.691792295;0.701842546;0.684812954;0.659128978;0.693188163;0.7158012283640425;0.698492462;0.702959241;0.7303182579564489;0.7029592406476829;0.595757;0.5318257956448911;0.41178112786152987;0.6850921273031826;0.7272473478503629;0.7361809045226131;0.760748185371301;0.4818537130094919;0.44667783361250696;0.725572305974316;0.758514796;0.72250139586823
uWaveGestureLibraryZ;0.5633724176437744;0.5734226689000559;0.6144611948632049;0.6549413735343383;0.5734226689000559;0.7199888330541597;0.7227805695142379;0.6756002233389168;0.649637074;0.658291457;0.675041876;0.577051926;0.676996092;0.686767169;0.688721385;0.699888331;0.683696259;0.678950307;0.675879397;0.6962590731434952;0.679229481;0.7319933;0.748464544946957;0.7467895030709101;0.638191;0.5561139028475712;0.4916247906197655;0.6948632049134562;0.7428810720268006;0.7724734785036292;0.768285873813512;0.4768285873813512;0.46621998883305416;0.7236180904522613;0.75041876;0.7063093243997767
UWaveGestureLibraryAll;0.8905639307649358;0.7841987716359575;0.8939140145170296;0.9357900614182021;0.8905639307649358;0.9385817978782803;0.9444444444444444;0.9316024567280848;0.948073702;0.891680625;0.962311558;0.849246231;0.927135678;0.953657175;0.958961474;0.963149079;0.952819654;0.93718593;0.966219989;0.9352317141261864;0.937744277;0.965661642;0.9422110552763819;0.953378001;0.788666;;0.7989949748743719;0.9388609715242882;0.957286432160804;0.9262981574539364;0.9659408151870463;0.5321049692908989;0.6602456728084869;0.9684533780011167;0.964265773;0.963428252372976
wafer;0.7084685269305646;0.9819922128487995;0.9599286177806619;0.9941596365996106;0.9576573653471772;0.9935107073329007;0.9944841012329656;0.963984425697599;0.995457495;0.979883193;0.995944192;0.977774173;0.997079818;0.99513303;0.989779364;0.997404283;0.995619727;0.997404283;0.997079818;0.9798831927319922;0.992537313;0.996593121;1.0;0.9961064243997404;0.996755;0.995619727449708;0.999026606;0.9948085658663206;0.9961064243997404;0.9951330304996755;0.9974042829331603;0.995944192083063;0.9951330304996755;0.9974042829331603;0.999837768;0.9943218689162882
Wine;0.5740740740740741;0.6851851851851852;0.8333333333333334;0.7592592592592593;0.6111111111111112;0.7407407407407407;0.9444444444444444;0.9444444444444444;0.611111111;0.574074074;0.611111111;0.518518519;0.537037037;0.611111111;0.481481481;0.592592593;0.574074074;0.518518519;0.574074074;0.5740740740740741;0.611111111;0.703703704;0.7962962962962963;0.5;0.759259;0.7592592592592593;0.9629629629629629;0.7407407407407407;0.6296296296296297;0.6111111111111112;0.6296296296296297;0.7037037037037037;0.48148148148148145;0.5740740740740741;0.648148148;0.6111111111111112
WordSynonyms;0.47648902821316613;0.38087774294670845;0.512539184952978;0.5658307210031348;0.2507836990595611;0.5705329153605015;0.5987460815047022;0.5376175548589341;0.617554859;0.648902821;0.749216301;0.680250784;0.731974922;0.681818182;0.757053292;0.763322884;0.749216301;0.731974922;0.744514107;0.7304075235109718;0.730407524;0.673981191;0.5705329153605015;0.6065830721003135;0.431034;0.5156739811912225;0.49059561128526646;0.6379310344827587;0.6473354231974922;0.6880877742946708;0.7554858934169278;0.3652037617554859;0.37460815047021945;0.7789968652037618;0.757053292;0.7570532915360502
Worms;0.38961038961038963;0.4025974025974026;0.38961038961038963;0.42857142857142855;0.44155844155844154;0.5454545454545454;0.6103896103896104;0.4155844155844156;0.454545455;0.584415584;0.532467532;0.584415584;0.649350649;0.558441558;0.597402597;0.571428571;0.571428571;0.584415584;0.532467532;0.5844155844155844;0.649350649;0.532467532;0.7402597402597403;0.6103896103896104;0.649351;0.5324675324675324;0.5584415584415584;0.5584415584415584;0.6103896103896104;0.6883116883116883;0.7012987012987013;0.7532467532467533;0.6883116883116883;0.6623376623376623;0.623376623;0.6103896103896104
WormsTwoClass;0.5194805194805194;0.5584415584415584;0.4935064935064935;0.5714285714285714;0.5714285714285714;0.6363636363636364;0.6883116883116883;0.5974025974025974;0.61038961;0.623376623;0.584415584;0.636363636;0.688311688;0.649350649;0.649350649;0.675324675;0.61038961;0.636363636;0.571428571;0.6493506493506493;0.623376623;0.701298701;0.8311688311688312;0.7272727272727273;0.727273;0.6363636363636364;0.7142857142857143;0.8311688311688312;0.6233766233766234;0.7532467532467533;0.7532467532467533;0.7662337662337663;0.8181818181818182;0.6883116883116883;0.805194805;0.6753246753246753
yoga;0.5423333333333333;0.6843333333333333;0.572;0.786;0.606;0.8146666666666667;0.8243333333333334;0.8206666666666667;0.830333333;0.836666667;0.843;0.82;0.828666667;0.847;0.860333333;0.865333333;0.872;0.84;0.853;0.856;0.856;0.868333333;0.8176666666666667;0.8343333333333334;0.695;0.832;0.84;0.9183333333333333;0.8593333333333333;0.8193333333333334;0.869;0.75;0.6953333333333334;0.879;0.876666667;0.844